INFO:root:Device: cpu
INFO:root:[epoch=0023] epoch_duration=11.210051
INFO:root:[epoch=0023] val_loss=0.09539
INFO:root:[epoch=0024|iter=0001] train_loss=0.09051
INFO:root:[epoch=0024|iter=0002] train_loss=0.08443
INFO:root:[epoch=0024|iter=0003] train_loss=0.09712
INFO:root:[epoch=0024] epoch_duration=11.145514
INFO:root:[epoch=0024] val_loss=0.09539
INFO:root:[epoch=0025|iter=0001] train_loss=0.08978
INFO:root:[epoch=0025|iter=0002] train_loss=0.08045
INFO:root:[epoch=0025|iter=0003] train_loss=0.10890
INFO:root:[epoch=0025] epoch_duration=11.161019
INFO:root:[epoch=0025] val_loss=0.09539
INFO:root:[epoch=0026|iter=0001] train_loss=0.09617
INFO:root:[epoch=0026|iter=0002] train_loss=0.08028
INFO:root:[epoch=0026|iter=0003] train_loss=0.09335
INFO:root:[epoch=0026] epoch_duration=11.192461
INFO:root:[epoch=0026] val_loss=0.09539
INFO:root:[epoch=0027|iter=0001] train_loss=0.08455
INFO:root:[epoch=0027|iter=0002] train_loss=0.08426
INFO:root:[epoch=0027|iter=0003] train_loss=0.11244
INFO:root:[epoch=0027] epoch_duration=11.115537
INFO:root:[epoch=0027] val_loss=0.09539
INFO:root:[epoch=0028|iter=0001] train_loss=0.08019
INFO:root:[epoch=0028|iter=0002] train_loss=0.10051
INFO:root:[epoch=0028|iter=0003] train_loss=0.08273
INFO:root:[epoch=0028] epoch_duration=11.170997
INFO:root:[epoch=0028] val_loss=0.09539
INFO:root:[epoch=0029|iter=0001] train_loss=0.08437
INFO:root:[epoch=0029|iter=0002] train_loss=0.09693
INFO:root:[epoch=0029|iter=0003] train_loss=0.08124
INFO:root:[epoch=0029] epoch_duration=11.138409
INFO:root:[epoch=0029] val_loss=0.09539
INFO:root:[epoch=0030|iter=0001] train_loss=0.09917
INFO:root:[epoch=0030|iter=0002] train_loss=0.08548
INFO:root:[epoch=0030|iter=0003] train_loss=0.07286
